InPlay,Velo,SpinRate,HorzBreak,InducedVertBreak
0,95.33,2893.0,10.68,21.33
0,94.41,2038.0,17.13,5.77
0,90.48,2183.0,6.61,15.39
0,93.04,2279.0,9.33,14.57
0,95.17,2384.0,6.99,17.62
0,95.0,2580.0,7.16,16.07
0,97.94,2376.0,12.29,18.11
0,95.42,2103.0,7.98,10.98
0,94.12,2535.0,5.68,18.59
0,93.23,2242.0,4.1,16.95
0,97.65,2274.0,18.51,4.41
0,94.06,2110.0,10.64,18.4
1,94.67,2357.0,12.33,12.11
1,91.51,2279.0,7.73,19.97
0,99.65,2295.0,13.54,13.65
0,91.03,2062.0,14.89,7.5
1,96.74,1932.0,17.59,8.85
0,95.21,2622.0,8.04,17.64
0,96.13,2407.0,6.65,17.76
0,95.26,2591.0,8.98,20.66
1,95.89,2520.0,7.89,18.27
0,99.74,2119.0,13.52,9.45
0,94.23,2384.0,6.61,19.26
0,94.99,2055.0,3.48,17.44
1,96.17,2034.0,18.99,4.88
1,86.84,1848.0,11.35,9.91
0,95.45,2281.0,10.72,16.93
0,95.63,2388.0,10.92,15.18
0,93.77,2217.0,6.65,15.84
0,91.17,2004.0,2.72,20.42
1,88.66,2136.0,5.58,17.83
1,97.1,2145.0,13.1,7.09
0,92.95,2389.0,5.0,16.46
0,92.56,2264.0,8.82,17.24
0,96.4,2554.0,13.08,15.66
1,91.06,2165.0,7.78,20.76
1,94.62,2231.0,19.57,10.35
0,93.41,1938.0,12.15,10.04
0,96.9,2293.0,14.51,13.51
0,94.64,2162.0,8.01,14.33
1,85.7,1951.0,10.49,10.43
1,93.53,2094.0,9.98,11.0
0,89.8,1949.0,7.79,14.44
0,93.8,2075.0,15.72,8.57
1,92.26,1898.0,10.01,12.39
0,92.48,2074.0,15.69,6.99
1,92.44,2349.0,5.56,16.93
1,94.57,2018.0,16.61,6.23
0,94.63,2211.0,9.28,14.56
0,96.82,2139.0,15.66,7.84
0,91.58,1901.0,16.91,9.11
0,95.56,2500.0,5.08,19.52
0,94.51,1969.0,6.54,14.29
0,93.5,2148.0,15.86,8.91
0,95.51,2305.0,4.15,18.05
0,94.26,2230.0,13.49,15.99
0,94.88,2689.0,-0.54,15.04
0,94.27,2286.0,6.59,18.67
0,96.65,2291.0,20.43,4.53
0,92.34,2508.0,9.24,14.29
1,90.84,2303.0,14.31,12.54
